Индекс,name,Код КЛАДР,Код ФИАС,Код ОКАТО,Код ОКТМО,Код ИФНС, Часовой пояс,lat,lon,pop
692900, Находка,2500000400000, 225a3506-35aa-4456-8bd7-244bdfbc4eaf,5414000000,5714000,2508, UTC727, 42.8240404, 132.8927812,159695
692851, Партизанск,2500000500000, b62edf86-4257-4e80-ade6-857529bd1b1e,5417000000,5717000,2509, UTC728, 43.1279833, 133.1264754,38648
692230, Спасск-Дальний,2500001000000, e55554eb-c571-49d2-bf69-c3c4acf8b10b,5420000000,5720000,2510, UTC729, 44.5900929, 132.8157564,44166
692500, Уссурийск,2500001100000, de7335fb-9baa-48eb-927d-0bb299b2e5bc,5423000000,5723000001,2511, UTC730, 43.79726, 131.9517262,157946
692880, Фокино,2500000600000, fdb16823-586f-43d2-a1b4-b1c7c7f00bcd,5547000000,5747000,2503, UTC731, 42.9707163, 132.4110209,23683
182100, Великие Луки,6000000200000, ca091eae-2c39-4730-b57d-b2fa570f71cb,58410000000,58710000,6000, UTC725, 56.3321847, 30.550757,98778
181600, Гдов,6000400100000, cdbe4f8f-1a44-4c99-a3c8-06b501a3ad2e,58208501000,58608101001,6027, UTC726, 58.7432585, 27.8263328,4379
182670, Дно,6000600100000, 31e4b2e4-ae67-43db-82ea-8728cd5a71c7,58212501000,58612101,6030, UTC727, 57.8269802, 29.9629569,9061
182500, Невель,6001000100000, 6570fdb6-7602-477e-a783-f186456dabfe,58220501000,58620101001,6009, UTC728, 56.0201544, 29.9240505,16324
182440, Новоржев,6001100100000, 236c48ca-48c9-471f-8891-0b73ea89bc2b,58223501000,58623101001,6031, UTC729, 57.0298332, 29.343333,3695
182200, Новосокольники,6001200100000, af8fb4a0-5d4e-4e0e-94fc-20021da2f67a,58226501000,58626101001,6025, UTC730, 56.3407627, 30.1527712,8119
182333, Опочка,6001300100000, 59c2f176-3b63-4086-bc6c-efa246c64a1e,58229501000,58629101001,6031, UTC731, 56.7107956, 28.6717455,11601
181353, Остров,6001400100000, 67d379ab-16ac-40d0-95c0-f5f1cbeb578d,58233501000,58633101001,6032, UTC732, 57.3452408, 28.3437107,21670
181502, Печоры,6001600100000, 8cb44bcc-4e46-409a-972a-b99a59fcc7e9,58240501000,58640101001,6032, UTC733, 57.8146689, 27.6222823,12308
182620, Порхов,6001800100000, c02d55c3-2086-400f-81b7-f1f540f31a87,58247501000,58647101,6030, UTC734, 57.7764223, 29.5436424,10608
180000, Псков,6000000100000, 2858811e-448a-482e-9863-e03bf06bb5d4,58401000000,58701000001,6027, UTC735, 57.819284, 28.3318188,203974
182300, Пустошка,6001900100000, 28a7a368-16ab-4ffc-9b3e-4a4c3e16bf74,58250501000,58650101001,6009, UTC736, 56.3375131, 29.3668243,4619
181410, Пыталово,6002100100000, 8cfcdc08-f726-4aff-abfa-b20199b32172,58253501000,58653101001,6032, UTC737, 57.0637109, 27.9234759,5826
182250, Себеж,6002200100000, 749fbd77-ddae-408b-8ad8-154a0a22306a,58254501000,58654101001,6009, UTC738, 56.2907663, 28.4725735,6375
346780, Азов,6100001300000, a216cad5-7027-40b8-b1a1-d64abefbd5cd,60404000000,60704000001,6188, UTC739, 47.1120631, 39.4232597,82882
346720, Аксай,6100300100000, 9bebf626-3ee7-4e1b-9e91-569c9d402152,60202501000,60602101001,6181, UTC740, 47.2676075, 39.8755485,41984
346880, Батайск,6100000300000, 3809afb6-fdfd-4115-9e55-236abf108c81,60407000000,60707000,6181, UTC741, 47.138321, 39.7508382,112400
347040, Белая Калитва,6100500100000, 2d38257c-c09e-405d-af01-93fc9cd3f6cd,60206501000,60606101001,6192, UTC742, 48.176948, 40.8033169,43688
347360, Волгодонск,6100000400000, 1a453dcd-8885-4999-923b-1bbaa5a1cec4,60412000000,60712000001,6100, UTC743, 47.5165181, 42.1984531,170621
347870, Гуково,6100000500000, eef55456-4d89-4620-b361-d620221ad3a7,60415000000,60715000001,6191, UTC744, 48.0449422, 39.9484635,67268
346330, Донецк,6100000600000, 8eeb1bf2-9de9-46d5-874f-50344ca9128b,60417000000,60717000001,6191, UTC745, 48.3350928, 39.9460654,50085
346310, Зверево,6100000700000, 99f4120c-2af0-4c97-afbc-d17fdf350ba6,60418000000,60718000001,6191, UTC746, 48.043451, 40.1264948,22416
347740, Зерноград,6101300100000, c07d0c34-eadb-4102-bcef-7dd1a3ba27c3,60218501000,60618101001,6188, UTC747, 46.8494991, 40.312765,26850
347800, Каменск-Шахтинский,6100000800000, 76cb0cf6-49a5-4852-b45d-99e4ce12a7ea,60419000000,60719000001,6191, UTC748, 48.3204412, 40.268874,95306
347250, Константиновск,6101800100000, 89de999c-b58a-4d76-94e5-dc6152813b10,60225501000,60625101001,6174, UTC749, 47.5773456, 41.0967362,17926
346350, Красный Сулин,6101900100000, 687f3695-dcc4-4591-b8b9-a316f46a459a,60226501000,60626101001,6191, UTC750, 47.8830826, 40.0781385,40866
346130, Миллерово,6102300100000, ac927a82-e1dc-4485-b0e0-59f019b8f295,60232501000,60632101001,6173, UTC751, 48.925821, 40.3983302,36493
347210, Морозовск,6102500100000, 933cca52-9ab1-490e-b674-ec3789233e28,60234501000,60634101001,6192, UTC752, 48.3511724, 41.8308006,27644
346400, Новочеркасск,6100000900000, 28bafcb3-92b2-445b-9443-a341be73fdb9,60427000000,60727000001,6183, UTC753, 47.4119248, 40.1042066,169039
346900, Новошахтинск,6100001000000, bce1a4f2-7576-4427-8bd8-8d8b4e35ad11,60430000000,60730000,6182, UTC754, 47.7576522, 39.9364709,111087
347540, Пролетарск,6103200100000, efa48912-9bcc-42ac-959d-289e9a75b046,60245501000,60645101001,6186, UTC755, 46.7038968, 41.7274533,20267
344000, Ростов-на-Дону,6100000100000, c1cfe4b9-f7c2-423c-abfa-6ed1c05a15c5,60401000000,60701000001,6100, UTC756, 47.2224364, 39.7187866,1091544
347630, Сальск,6103500100000, 971ba684-f38b-4229-ba72-0d6fe8e179c4,60250501000,60650101001,6186, UTC757, 46.4751689, 41.5412229,61312
346630, Семикаракорск,6103600100000, 29b72146-2e5d-4841-a1c3-ce2c3f47aa35,60251501000,60651101001,6183, UTC758, 47.5177981, 40.811585,23884
347900, Таганрог,6100001100000, d72c95ed-9fdd-4f27-b94f-898fc3f1177d,60437000000,60737000001,6154, UTC759, 47.2094907, 38.935154,257692
